Property ID,Region,Province,District,Locality,PostalCode,Street,Price,PriceType,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,KitchenType,Furnished,Open_fire,SwimmingPool,Terrace_Area,Garden_Area,FacadeCount,FloorCount,ConstructionYear,StateBuilding,LandWidth,LandSurface,EPCScore,LifeAnnuitySale,ScrapedURL,KitchenType_Quantified,StateBuilding_Quantified
20233236,Brussels,Brussels,Brussels,Bruxelles,1000,Rue Saint-Ghislain,225000,first_session_with_reserve_price,HOUSE,HOUSE,FOR_SALE,2.0,,,0,0,0,,,,,,,0.0,58.0,G,0,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/20233236,,
20226422,Brussels,Brussels,Brussels,Woluwe-Saint-Pierre,1150,Avenue Edmond Parmentier,1375000,residential_sale,HOUSE,HOUSE,FOR_SALE,5.0,340.0,HYPER_EQUIPPED,0,0,1,,,4.0,3.0,1918.0,GOOD,0.0,550.0,G,0,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20226422,6.0,3.0
11445541,Brussels,Brussels,Brussels,Bruxelles,1020,Avenue De La Bugrane - Stalkruidlaan,1000000,residential_sale,HOUSE,VILLA,FOR_SALE,6.0,500.0,HYPER_EQUIPPED,0,1,0,1.0,387.0,3.0,2.0,,GOOD,0.0,517.0,E,0,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1020/11445541,6.0,3.0
20093183,Brussels,Brussels,Brussels,Forest,1190,Place Saint-Denis - Sint-Denijsplein,565000,residential_sale,HOUSE,MIXED_USE_BUILDING,FOR_SALE,4.0,260.0,USA_SEMI_EQUIPPED,0,1,0,14.0,150.0,2.0,3.0,1903.0,TO_BE_DONE_UP,7.0,250.0,G,0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/forest/1190/20093183,5.0,2.0
20240551,Flanders,Antwerp,Antwerp,Wilrijk,2610,Vaderlandstraat,410000,residential_sale,HOUSE,APARTMENT_BLOCK,FOR_SALE,3.0,185.0,INSTALLED,0,0,0,,25.0,2.0,2.0,1945.0,JUST_RENOVATED,0.0,139.0,,0,https://www.immoweb.be/en/classified/apartment-block/for-sale/wilrijk/2610/20240551,1.0,4.0
20240549,Wallonie,Luxembourg,Neufchâteau,WELLIN,6920,Rue Houchettes,219000,residential_sale,HOUSE,HOUSE,FOR_SALE,3.0,103.0,NOT_INSTALLED,0,0,0,,1160.0,2.0,,1850.0,,11.0,1252.0,E,0,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/20240549,0.0,
20233131,Brussels,Brussels,Brussels,Ixelles,1050,Rue Du Relais - Pleisterstraat,395000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1.0,100.0,HYPER_EQUIPPED,0,0,0,3.0,,,4.0,,JUST_RENOVATED,,,,0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20233131,6.0,4.0
20226645,Brussels,Brussels,Brussels,Brussel,1000,Hooikaai,455000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2.0,120.0,SEMI_EQUIPPED,0,0,0,,,,6.0,,TO_BE_DONE_UP,,,F,0,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20226645,3.0,2.0
20226427,Brussels,Brussels,Brussels,UCCLE,1180,,820000,residential_sale,HOUSE,HOUSE,FOR_SALE,4.0,240.0,,0,0,0,20.0,45.0,,,,,0.0,0.0,,0,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20226427,,
20240570,Brussels,Brussels,Brussels,Evere,1140,Avenue de l'Oud-Kapelleke,235000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2.0,75.0,,0,0,0,14.0,,,1.0,,GOOD,,,E,0,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20240570,,3.0
20240582,Wallonie,Liège,Waremme,Meeffe,4219,Rue De Liège,370000,residential_sale,HOUSE,HOUSE,FOR_SALE,3.0,160.0,USA_INSTALLED,0,0,0,1.0,1.0,4.0,1.0,2024.0,AS_NEW,0.0,1039.0,A,0,https://www.immoweb.be/en/classified/house/for-sale/meeffe/4219/20240582,2.0,5.0
20243133,Flanders,West Flanders,Brugge,Blankenberge,8370,Kerkstraat,189000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1.0,57.0,,1,0,0,10.0,,,,,GOOD,,,A,0,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20243133,,3.0
20240553,Brussels,Brussels,Brussels,Laeken,1020,Avenue Prudent Bols,300000,residential_sale,APARTMENT,PENTHOUSE,FOR_SALE,2.0,105.0,HYPER_EQUIPPED,1,0,0,,,2.0,4.0,1999.0,GOOD,,,D,0,https://www.immoweb.be/en/classified/penthouse/for-sale/laeken/1020/20240553,6.0,3.0
20226743,Brussels,Brussels,Brussels,Brussels City,1000,,650000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,2.0,180.0,HYPER_EQUIPPED,0,0,0,,,,8.0,1950.0,GOOD,,,E,0,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/20226743,6.0,3.0
20226435,Brussels,Brussels,Brussels,Bruxelles,1000,Rue des Commerçants,480000,residential_sale,APARTMENT,TRIPLEX,FOR_SALE,3.0,138.0,HYPER_EQUIPPED,0,0,0,,,2.0,5.0,,AS_NEW,,,D,0,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles/1000/20226435,6.0,5.0
20242468,Flanders,West Flanders,Kortrijk,Kuurne,8520,Roterijstraat,775000,residential_sale,HOUSE,MANSION,FOR_SALE,3.0,,,0,0,0,20.0,590.0,2.0,3.0,2011.0,AS_NEW,15.0,801.0,B,0,https://www.immoweb.be/en/classified/mansion/for-sale/kuurne/8520/20242468,,5.0
20226625,Brussels,Brussels,Brussels,Uccle,1180,Rue Geleytsbeek,499000,residential_sale,APARTMENT,GROUND_FLOOR,FOR_SALE,3.0,105.0,,0,0,0,15.0,250.0,3.0,3.0,,JUST_RENOVATED,,,,0,https://www.immoweb.be/en/classified/ground-floor/for-sale/uccle/1180/20226625,,4.0
20243129,Flanders,Antwerp,Turnhout,Mol,2400,Schaapsbeemdenweg,639000,residential_sale,HOUSE,HOUSE,FOR_SALE,4.0,240.0,,0,0,0,,,4.0,,,,0.0,700.0,,0,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/20243129,,
20208311,Brussels,Brussels,Brussels,Uccle,1180,Avenue Montjoie,289000,residential_sale,APARTMENT,APARTMENT,FOR_SALE,1.0,75.0,,0,0,0,,,,3.0,,,,,G,0,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20208311,,
20243127,Wallonie,Liège,Liège,Seraing,4100,Rue Fivé,199000,residential_sale,HOUSE,HOUSE,FOR_SALE,4.0,46.0,INSTALLED,0,0,0,10.0,84.0,2.0,2.0,,GOOD,12.0,146.0,C,0,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20243127,1.0,3.0
20226847,Brussels,Brussels,Brussels,Bruxelles  2,1020,,990000,residential_sale,HOUSE,VILLA,FOR_SALE,4.0,450.0,INSTALLED,0,1,0,,950.0,4.0,,1942.0,,0.0,1165.0,,0,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles-2/1020/20226847,1.0,
20207732,Brussels,Brussels,Brussels,Uccle,1180,,415000,residential_sale,HOUSE,APARTMENT_BLOCK,FOR_SALE,2.0,150.0,,0,0,0,,,2.0,2.0,,,0.0,0.0,,0,https://www.immoweb.be/en/classified/apartment-block/for-sale/uccle/1180/20207732,,
